Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Potion 1			1						hp1	12	hp2	4	mp1	5	mp2	4	rvs	1	vps	4												0
Potion 2			1						hp1	4	hp2	8	hp3	5	mp2	2	mp3	5	rvs	1	vps	2	yps	3	wms	1						0
Potion 3			1						hp2	6	hp3	6	hp4	4	mp3	3	mp4	3	rvs	1	vps	2	yps	2	wms	1						0
Potion 4			1						hp3	6	hp4	6	hp5	4	mp4	3	mp5	3	rvs	1	vps	2	yps	2	wms	1						0
Potion 5			1						hp3	4	hp4	6	hp5	6	mp5	5	rvs	1	vps	2	yps	2	wms	1								0
Potion 6			1						hp4	6	hp5	8	mp4	1	mp5	5	rvs	1	vps	2	yps	2	wms	1								0
Ammo			1						aqv	1	cqv	1																				0
Ammo(N)		25	1						aqv	20	cqv	20	aqv2	30	cqv2	30																0
Ammo(H)		45	1						aqv	5	cqv	5	aqv2	30	cqv2	30	aqv3	15	cqv3	15												0
Treasure Fallen Map			2					12	T3 Map Drop	4	irma	1	irra	2	rrra	2	urma	1	scou	1												0
Treasure Fallen Gem N			2					18	Flawless Gem	2																						0
Treasure Fallen Rune N			2					13	Runes 5	2																						0
Treasure Fallen Craft N			2					18	crfb	1	crfc	1	crfs	1	crfh	1	crfv	1	crfu	1												0
Treasure Fallen Gem NM			2					16	Perfect Gem	3	Flawless Gem	2																				0
Treasure Fallen Rune NM			2					12	Runes 10	2																						0
Treasure Fallen Craft NM			2					16	crfb	1	crfc	1	crfs	1	crfh	1	crfv	1	crfu	1												0
Treasure Fallen Gem H			2					10	Perfect Gem	4	Flawless Gem	1																				0
Treasure Fallen Rune H			2					12	Runes 17	7																						0
Treasure Fallen Craft H			1					12	crfb	1	crfc	1	crfs	1	crfh	1	crfv	1	crfu	1	crfp	1										0
Fate Card Tier 0			1					0	fa01	1	fa03	2	fa06	2	fa07	1	fa08	1	fa09	2	fa10	1	fa12	3								0
Fate Card Tier 1			1					0	fa13	1	fa14	1	fa15	1	fa16	1	fa17	1	fa18	1	fa19	1	fa20	1	fa21	1						0
Fate Card Tier 2			1					0	fa22	1	fa23	1	fa24	1	fa25	1	fa26	1	fa27	1	fa28	1	fa29	1	fa30	1	fa31	1				0
Fate Card Tier 3a			1					0	fa32	1	fa33	1	fa34	1	fa35	1	fa36	1	fa37	1	fa38	1	fa39	1	fa40	1	fa41	1				0
Fate Card Tier 3b			1					0	fa42	1	fa43	1	fa44	1	fa45	1	fa46	1	fa47	1	fa48	1	fa49	1	fa50	1	fa51	1				0
Fate Card Tier 3c			1					7	fa52	1	fa53	1	fa54	1																		0
Fate Card Tier 3			1					0	Fate Card Tier 3a	1	Fate Card Tier 3b	1	Fate Card Tier 3c	1																		0
Fate Card Tier 4			1					0	fa55	1	fa56	1																				0
Fate Card Tier 5			1					0	fa59	1	fa60	1	fa61	1	fa63	1																0
Fate Card Tier 2 T1T2			1					0	fa29	1	fa30	1	fa31	1																		0
Base Essences A			1					0	es01	1	es04	1	es07	1	es10	1	es13	1	es16	1	es19	1	es22	1	es25	1	es28	1				0
Base Essences B			1					0	es32	1	es35	1	es38	1	es41	1	es44	1	es47	1	es50	1	es53	1	es56	1	es59	1				0
Greater Essences A			1					0	es02	1	es05	1	es08	1	es11	1	es14	1	es17	1	es20	1	es23	1	es26	1	es29	1				0
Greater Essences B			1					0	es33	1	es36	1	es39	1	es42	1	es45	1	es48	1	es51	1	es54	1	es57	1	es60	1				0
Perfect Essences A			1					0	es03	1	es06	1	es09	1	es12	1	es15	1	es18	1	es21	1	es24	1	es27	1	es30	1				0
Perfect Essences B			1					0	es34	1	es37	1	es40	1	es43	1	es46	1	es49	1	es52	1	es55	1	es58	1	es61	1				0
Base Tier Essences			1					0	Base Essences A	1	Base Essences B	1																				0
Greater Tier Essences			1					0	Greater Essences A	1	Greater Essences B	1																				0
Perfect Tier Essences			1					0	Perfect Essences A	1	Perfect Essences B	1																				0
Essences T1 Map			1					3	Perfect Tier Essences	1																						0
Essences T2 Map			1					2	Perfect Tier Essences	1																						0
Essences T3 Map			1					1	Perfect Tier Essences	1																						0
Hatred Orbs T1 Map			1					0	hor6	8	hor5	12	hor4	16	hor3	19	hor2	21	hor1	24												0
Hatred Orbs T2 Map			1					0	hor6	10	hor5	12	hor4	16	hor3	19	hor2	20	hor1	23												0
Hatred Orbs T3 Map			1					0	hor6	12	hor5	14	hor4	16	hor3	18	hor2	19	hor1	21												0
Hatred Orbs T4 Map			1					0	hor6	14	hor5	16	hor4	18	hor3	20	hor2	17	hor1	15												0
Dummy																																0
Dummy																																0
Dummy																																0
Dummy																																0
Dummy																																0
Fate Card fallen			1					0	Fate Card Tier 1	2	Fate Card Tier 2 T1T2	12	Fate Card Tier 3	18	Fate Card Tier 4	30	Fate Card Tier 5	38														0
Fate Card Normal			3					0	Fate Card Tier 5	1																						0
Fate Card Nightmare			3					0	Fate Card Tier 4	40	Fate Card Tier 5	60																				0
Fate Card A45 Hell			1					0	Fate Card Tier 3	27	Fate Card Tier 4	35	Fate Card Tier 5	38																		0
Fate Card World Drop Hell			1					0	Fate Card Tier 4	40	Fate Card Tier 5	60																				0
Fate Card T1 Map			1					0	Fate Card Tier 2 T1T2	10	Fate Card Tier 3	20	Fate Card Tier 4	30	Fate Card Tier 5	40																0
Fate Card T2 Map			1					0	Fate Card Tier 2 T1T2	10	Fate Card Tier 3	20	Fate Card Tier 4	30	Fate Card Tier 5	40																0
Fate Card T3 Map			1					0	Fate Card Tier 0	3	Fate Card Tier 1	10	Fate Card Tier 2	16	Fate Card Tier 3	20	Fate Card Tier 4	24	Fate Card Tier 5	27												0
Fate Card T4 Map			1					0	Fate Card Tier 0	3	Fate Card Tier 1	10	Fate Card Tier 2	16	Fate Card Tier 3	20	Fate Card Tier 4	24	Fate Card Tier 5	27												0
Terrors T3			1					5	tror	1	troa	1	troe	1																		0
Chisels			1					0	ccsa	1	ccpr	1																				0
Scarabs			1					0	scnm	1	scas	2	sccn	2																		0
Map currency T1			1					0	Scarabs	35	Chisels	35	wss	30																		0
Map currency T2			1					0	Scarabs	35	Chisels	35	wss	30																		0
Map currency T3			1					0	Scarabs	33	Chisels	33	wss	31	Terrors T3	3																0
New orbs			1					0	csor	2	ooal	3																				0
New orbs T1			1					0	etor	1	csor	39	ooal	60																		0
New orbs T2			1					0	etor	1	csor	43	ooal	50																		0
New orbs T3			1					0	etor	1	csor	47	ooal	52																		0
New orbs fallen			1					0	etor	1	csor	39	ooal	60																		0
Mythic or Charms			1					0	mjw	1	cm4	1																				0
Runes 1			1						r01s	3	r02s	2																				0
Runes 2			1						r03s	3	r04s	2	Runes 1	2																		0
Runes 3			1						r05s	3	r06s	2	Runes 2	3																		0
Runes 4			1						r07s	3	r08s	2	Runes 3	4																		0
Runes 5			1						r09s	3	r10s	2	Runes 4	4																		0
Runes 6			1						r11s	3	r12s	2	Runes 5	6																		0
Runes 7			1						r13s	3	r14s	2	Runes 6	8																		0
Runes 8			1						r15s	3	r16s	2	Runes 7	18																		0
Runes 9			1						r17s	3	r18s	2	Runes 8	36																		0
Runes 10			1						r19s	3	r20s	2	Runes 9	72																		0
Runes 11			1						r21s	3	r22s	2	Runes 10	144																		0
Runes 12			1						r23s	3	r24s	2	Runes 11	212																		0
Runes 13			1						r25s	3	r26s	2	Runes 12	151																		0
Runes 14			1						r27s	3	r28s	2	Runes 13	302																		0
Runes 15			1						r29s	3	r30s	2	Runes 14	588																		0
Runes 16			1						r31s	3	r32s	2	Runes 15	790																		0
Runes 17			1						r33s	1	Runes 16	1034																				0
Runes 12 equiv			1						r23s	3	r24s	2	Runes 11	212																		0
Runes 13 equiv			1						r25s	3	r26s	2	Runes 12 equiv	302																		0
Runes 14 equiv			1						r27s	3	r28s	2	Runes 13 equiv	434																		0
Runes 15 equiv			1						r29s	3	r30s	2	Runes 14 equiv	588																		0
Runes 16 equiv			1						r31s	3	r32s	2	Runes 15 equiv	790																		0
Runes 17 equiv			1						r33s	1	Runes 16 equiv	1034																				0
T3 Map Drop Infernal			1			10000			tm1i	1	tm2i	1	tm3i	1	tm4i	1	tm5i	1	tm6i	1	tm7i	1	tm8i	1	tm9i	1						0
Map Tier 1			1			10000			t23	1	t15	1	t12	1	t26	1	t25	1	t22	1	t36	1	t17	1								0
Map Tier 2			1			10000			t34	1	t31	1	t24	1	t11	1	t33	1	t13	1	t27	1	t28	1								0
Map Tier 3			1			10000			t3a	2	t38	2	t39	2	t37	2	t14	2	t21	2	t32	2	t16	2	t35	2						0
Map Tier 4		89	1			10000		0	t42	1	t43	1	t44	1																		0
T3 Normal or Infernal			1			10000			T3 Map Drop Infernal	30	Map Tier 3	70																				0
T1 Map Drop		87	1						Map Tier 1	66	Map Tier 2	33																				0
T2 Map Drop		88	1						Map Tier 1	39	Map Tier 2	41	Map Tier 3	20																		0
T3 Map Drop		89	1						Map Tier 1	27	Map Tier 2	33	T3 Normal or Infernal	37	Map Tier 4	3																0
T3 Map Drop No Infernal No T4			1						Map Tier 1	28	Map Tier 2	34	Map Tier 3	38																		0
T3 Map Drop No T4			1						Map Tier 1	29	Map Tier 2	34	T3 Normal or Infernal	37																		0
Act 1 Junk			1						Potion 1	16	Misc 0	8	Ammo	1																		0
Act 2 Junk			1						Act 1 Junk	4	Potion 2	16	Misc 0	8	Ammo	1																0
Act 3 Junk			1						Act 2 Junk	4	Potion 3	16	Misc 1	8	Ammo	1																0
Act 4 Junk			1						Act 3 Junk	4	Potion 4	16	Misc 1	8	Ammo	1																0
Act 5 Junk			1						Act 4 Junk	4	Potion 5	16	Misc 2	8	Ammo	1																0
Act 1 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(N)	1																0
Act 2 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(N)	1																0
Act 3 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(N)	1																0
Act 4 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(N)	1																0
Act 5 (N) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(N)	1																0
Act 1 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(H)	1																0
Act 2 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(H)	1																0
Act 3 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(H)	1																0
Act 4 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(H)	1																0
Act 5 (H) Junk			1						Act 5 Junk	4	Potion 6	16	Misc 2	8	Ammo(H)	1																0
Act 1 Equip A	1	0	1						weap3	7	armo3	7																				0
Act 1 Equip B	1	5	1						weap3	3	armo3	3	weap6	7	armo6	7																0
Act 1 Equip C	1	9	1						weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1								0
Act 2 Equip A	1	12	1						weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30			36	66	0.4545	0
Act 2 Equip B	1	15	1						weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	2	armo18	1	Act 2 Equip A	60			36	96	0.625	0
Act 2 Equip C	1	18	1						weap12	2	armo12	1	weap15	6	armo15	3	weap18	14	armo18	7	weap21	2	armo21	1	Act 2 Equip B	80			36	116	0.6897	0
Act 3 Equip A	1	20	1						weap15	2	armo15	1	weap18	6	armo18	3	weap21	14	armo21	7	weap24	2	armo24	1	Act 2 Equip C	100			36	136	0.7353	0
Act 3 Equip B	1	22	1						weap18	2	armo18	1	weap21	6	armo21	3	weap24	14	armo24	7	weap27	2	armo27	1	Act 3 Equip A	200			36	236	0.8475	0
Act 3 Equip C	1	24	1						weap21	2	armo21	1	weap24	6	armo24	3	weap27	14	armo27	7	weap30	2	armo30	1	Act 3 Equip B	340			36	376	0.9043	0
Act 4 Equip A	1	26	1						weap24	2	armo24	1	weap27	6	armo27	3	weap30	14	armo30	4	weap33	2	armo33	1	Act 3 Equip C	430			33	463	0.9287	0
Act 4 Equip B	1	29	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	2	armo36	1	Act 4 Equip A	500			32	532	0.9398	0
Act 5 Equip A	1	32	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	3	weap36	7	armo36	5	Act 4 Equip B	629			41	670	0.9388	0
Act 5 Equip B	1	34	1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip A	731			35	766	0.9543	0
Act 5 Equip C	1	36	1						weap30	2	armo30	1	weap33	6	armo33	2	weap36	14	armo36	7	weap39	2	armo39	1	Act 5 Equip B	833			35	868	0.9597	0
Act 1 (N) Equip A	1	38	1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Equip C	935			36	971	0.9629	0
Act 1 (N) Equip B	1	40	1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	6	armo42	3	Act 1 (N) Equip A	1105			42	1147	0.9634	0
Act 1 (N) Equip C	1	42	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Equip A	1020			36	1056	0.9659	0
Act 2 (N) Equip A	1	44	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Equip B	1233			42	1275	0.9671	0
Act 2 (N) Equip B	1	46	1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Equip A	1105			36	1141	0.9684	0
Act 2 (N) Equip C	1	48	1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	6	armo48	3	Act 2 (N) Equip A	1318			42	1360	0.9691	0
Act 3 (N) Equip A	1	50	1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Equip B	1190			36	1226	0.9706	0
Act 3 (N) Equip B	1	52	1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	6	armo51	3	Act 3 (N) Equip A	1445			42	1487	0.9718	0
Act 3 (N) Equip C	1	54	1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Equip A	1275			36	1311	0.9725	0
Act 4 (N) Equip A	1	56	1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Equip B	1530			42	1572	0.9733	0
Act 4 (N) Equip B	1	58	1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Equip A	1360			36	1396	0.9742	0
Act 4 (N) Equip C	1	60	1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	6	armo57	3	Act 4 (N) Equip A	1658			42	1700	0.9753	0
Act 5 (N) Equip A	1	62	1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Equip B	1445			36	1481	0.9757	0
Act 5 (N) Equip B	1	64	1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Equip A	1743			42	1785	0.9765	0
Act 5 (N) Equip C	1	66	1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Equip B	1530			36	1566	0.977	0
Act 1 (H) Equip A	1	68	1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Equip C	1785			42	1827	0.977	0
Act 1 (H) Equip B	1	70	1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Equip A	1530			36	1566	0.977	0
Act 1 (H) Equip C	1	71	1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	6	armo66	3	Act 1 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip A	1	73	1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Equip B	1530			36	1566	0.977	0
Act 2 (H) Equip B	1	75	1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	6	armo69	3	Act 2 (H) Equip A	1785			42	1827	0.977	0
Act 2 (H) Equip C	1	76	1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip A	1	77	1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Equip B	1785			42	1827	0.977	0
Act 3 (H) Equip B	1	78	1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Equip A	1530			36	1566	0.977	0
Act 3 (H) Equip C	1	79	1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	6	armo75	3	Act 3 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip A	1	80	1						weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Equip B	1530			36	1566	0.977	0
Act 4 (H) Equip B	1	81	1						weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	6	armo78	3	Act 4 (H) Equip A	1785			42	1827	0.977	0
Act 4 (H) Equip C	1	82	1						weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip A	1	83	1						weap75	2	armo75	1	weap78	6	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Equip B	1530			36	1566	0.977	0
Act 5 (H) Equip B	1	84	1						weap78	2	armo78	1	weap81	6	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Equip A	1530			36	1566	0.977	0
Act 5 (H) Equip C	1	85	1						weap81	2	armo81	1	weap84	6	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Equip B	1530			35	1565	0.9776	0
Act 1 Melee A	2	0	1						mele3	7	armo3	7																				0
Act 1 Melee B	2	5	1						mele3	3	armo3	3	mele6	7	armo6	7																0
Act 1 Melee C	2	9	1						mele3	2	armo3	1	mele6	6	armo6	3	mele9	14	armo9	7	mele12	2	armo12	1								0
Act 2 Melee A	2	12	1						mele6	2	armo6	1	mele9	6	armo9	3	mele12	14	armo12	7	mele15	2	armo15	1	Act 1 Melee C	30			36	66	0.4545	0
Act 2 Melee B	2	15	1						mele9	2	armo9	1	mele12	6	armo12	3	mele15	14	armo15	7	mele18	2	armo18	1	Act 2 Melee A	60			36	96	0.625	0
Act 2 Melee C	2	18	1						mele12	2	armo12	1	mele15	6	armo15	3	mele18	14	armo18	7	mele21	2	armo21	1	Act 2 Melee B	90			36	126	0.7143	0
Act 3 Melee A	2	20	1						mele15	2	armo15	1	mele18	6	armo18	3	mele21	14	armo21	7	mele24	2	armo24	1	Act 2 Melee C	120			36	156	0.7692	0
Act 3 Melee B	2	22	1						mele18	2	armo18	1	mele21	6	armo21	3	mele24	14	armo24	7	mele27	2	armo27	1	Act 3 Melee A	150			36	186	0.8065	0
Act 3 Melee C	2	24	1						mele21	2	armo21	1	mele24	6	armo24	3	mele27	14	armo27	7	mele30	2	armo30	1	Act 3 Melee B	180			36	216	0.8333	0
Act 4 Melee A	2	26	1						mele24	2	armo24	1	mele27	6	armo27	3	mele30	14	armo30	4	mele33	2	armo33	1	Act 3 Melee C	210			33	243	0.8642	0
Act 4 Melee B	2	29	1						mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	2	armo36	1	Act 4 Melee A	260			32	292	0.8904	0
Act 5 Melee A	2	32	1						mele27	2	armo27	1	mele30	6	armo30	3	mele33	14	armo33	3	mele36	7	armo36	5	Act 4 Melee B	400			41	441	0.907	0
Act 5 Melee B	2	34	1						mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee A	489			35	524	0.9332	0
Act 5 Melee C	2	36	1						mele30	2	armo30	1	mele33	6	armo33	2	mele36	14	armo36	7	mele39	2	armo39	1	Act 5 Melee B	629			35	664	0.9473	0
Act 1 (N) Melee A	2	38	1						weap33	2	armo33	1	weap36	6	armo36	3	weap39	14	armo39	7	weap42	2	armo42	1	Act 5 Melee C	769			36	805	0.9553	0
Act 1 (N) Melee B	2	40	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	2	armo45	1	Act 1 (N) Melee A	935			36	971	0.9629	0
Act 2 (N) Melee A	2	42	1						weap36	2	armo36	1	weap39	6	armo39	3	weap42	14	armo42	7	weap45	6	armo45	3	Act 1 (N) Melee B	1148			42	1190	0.9647	0
Act 2 (N) Melee B	2	44	1						weap39	2	armo39	1	weap42	6	armo42	3	weap45	14	armo45	7	weap48	2	armo48	1	Act 2 (N) Melee A	1020			36	1056	0.9659	0
Act 3 (N) Melee A	2	46	1						weap42	2	armo42	1	weap45	6	armo45	3	weap48	14	armo48	7	weap51	2	armo51	1	Act 2 (N) Melee B	1063			36	1099	0.9672	0
Act 3 (N) Melee B	2	48	1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	2	armo54	1	Act 3 (N) Melee A	1105			36	1141	0.9684	0
Act 4 (N) Melee A	2	51	1						weap45	2	armo45	1	weap48	6	armo48	3	weap51	14	armo51	7	weap54	6	armo54	3	Act 3 (N) Melee B	1339			42	1381	0.9696	0
Act 4 (N) Melee B	2	54	1						weap48	2	armo48	1	weap51	6	armo51	3	weap54	14	armo54	7	weap57	2	armo57	1	Act 4 (N) Melee A	1190			36	1226	0.9706	0
Act 5 (N) Melee A	2	57	1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	2	armo60	1	Act 4 (N) Melee B	1275			36	1311	0.9725	0
Act 5 (N) Melee B	2	60	1						weap51	2	armo51	1	weap54	6	armo54	3	weap57	14	armo57	7	weap60	6	armo60	3	Act 5 (N) Melee A	1743			42	1785	0.9765	0
Act 5 (N) Melee C	2	63	1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	2	armo63	1	Act 5 (N) Melee B	1530			36	1566	0.977	0
Act 1 (H) Melee A	2	66	1						weap54	2	armo54	1	weap57	6	armo57	3	weap60	14	armo60	7	weap63	6	armo63	3	Act 5 (N) Melee C	1781			42	1823	0.977	0
Act 1 (H) Melee B	2	68	1						weap57	2	armo57	1	weap60	6	armo60	3	weap63	14	armo63	7	weap66	2	armo66	1	Act 1 (H) Melee A	1530			36	1566	0.977	0
Act 2 (H) Melee A	2	71	1						weap60	2	armo60	1	weap63	6	armo63	3	weap66	14	armo66	7	weap69	2	armo69	1	Act 1 (H) Melee B	1530			36	1566	0.977	0
Act 2 (H) Melee B	2	73	1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	2	armo72	1	Act 2 (H) Melee A	1530			36	1566	0.977	0
Act 3 (H) Melee A	2	75	1						weap63	2	armo63	1	weap66	6	armo66	3	weap69	14	armo69	7	weap72	6	armo72	3	Act 2 (H) Melee B	1781			42	1823	0.977	0
Act 3 (H) Melee B	2	77	1						weap66	2	armo66	1	weap69	6	armo69	3	weap72	14	armo72	7	weap75	2	armo75	1	Act 3 (H) Melee A	1530			36	1566	0.977	0
Act 4 (H) Melee A	2	79	1						weap69	2	armo69	1	weap72	6	armo72	3	weap75	14	armo75	7	weap78	2	armo78	1	Act 3 (H) Melee B	1530			36	1566	0.977	0
Act 4 (H) Melee B	2	80	1						weap72	2	armo72	1	weap75	6	armo75	3	weap78	14	armo78	7	weap81	2	armo81	1	Act 4 (H) Melee A	1530			36	1566	0.977	0
Act 5 (H) Melee A	2	81	1						weap75	2	armo75	1	weap78	6	armo78	3	weap81	14	armo81	7	weap84	2	armo84	1	Act 4 (H) Melee B	1530			36	1566	0.977	0
Act 5 (H) Melee B	2	83	1						weap78	2	armo78	1	weap81	6	armo81	3	weap84	14	armo84	7	weap87	2	armo87	1	Act 5 (H) Melee A	1530			36	1566	0.977	0
Act 5 (H) Melee C	2	85	1						weap81	2	armo81	1	weap84	6	armo84	3	weap87	14	armo87	7	weap87	1	armo87	1	Act 5 (H) Melee B	1530			35	1565	0.9776	0
Act 1 Bow A	3	0	1						bow3	36																						0
Act 1 Bow B	3	5	1						bow3	20	bow6	16																				0
Act 1 Bow C	3	9	1						bow3	10	bow6	16	bow9	10																		0
Act 2 Bow A	3	12	1						bow3	3	bow6	15	bow9	15	bow12	3																0
Act 2 Bow B	3	15	1						bow3	1	bow6	7	bow9	20	bow12	7	bow15	1														0
Act 2 Bow C	3	18	1						bow3	1	bow6	3	bow9	14	bow12	14	bow15	3	bow18	1												0
Act 3 Bow A	3	20	1						bow3	1	bow6	3	bow9	6	bow12	12	bow15	6	bow18	3	bow21	1										0
Act 3 Bow B	3	22	1						bow3	1	bow6	3	bow9	6	bow12	8	bow15	8	bow18	6	bow21	3	bow24	1								0
Act 3 Bow C	3	24	1						bow3	1	bow6	2	bow9	5	bow12	7	bow15	8	bow18	7	bow21	4	bow24	2								0
